source_text,pivot_text_en,backtranslated_text,accepted
sepi,lonely,Kesepian,False
rasa sudah berkurang engga ky dulu,I don't think it's going to work.,Saya tidak berpikir itu akan bekerja.,False
no issue soal mie ayamnya lezat sekilas langsung ngingetin mie ayam tumini di jogja walaupun karakter rasa agak beda tapi yang ngawur kang parkirnya natain motor2 pelanggan sampel nempel pel sama motor2 yang lain alesannya biar muat banyak,No issue. The chicken noodles are delicious. Just a quick look.,Tidak masalah. mie ayam lezat.,False
pelayanan lama sekali terkesan pesanan dilupakan bulan puasa sudah datang sebelum jam 16 45 makanan baru tersaji sekitar 18 30 itupun setelah kami komplikasi anak2 sudah keburu lapar,The service was impressed long ago. The order was forgotten. The fast month arrived before 1645.,"Layanan itu terkesan sejak lama, perintah itu dilupakan, bulan cepat tiba sebelum 1645.",False
mayan gede sayang pas dateng tidak ada bakso lava jumbo,"fontcolor="" # FFFF00""Mayanbigde fontcolorcolor= # .""","Mayanbigde.""",False
kok bisa ya jualan mie ayam kaya gini? 1 mie rasa rendang 2 minyak terlalu banyak 3 bumbu cuma dari kuah rendang tidak ada bumbu dasar 4 mie terlalu besar ini cocoknya untuk ramen 5 pangsit hambar cuma rasa tepung 6 tempat duduk tidak nyaman bolong bolong 7 meja terlalu tinggi tidak habis pikir,Why can't you sell chicken noodles like this? 2 oil flavored noodles 2 too much,Mengapa kau tidak bisa menjual mie ayam seperti ini? 2 minyak rasa mie 2 terlalu banyak,False
kayanya kemahalan mienya juga kering ayamnya juga sedikit,The noodles are dried up a little bit too,Mienya sedikit kering.,False
tempat nya kurang bersih banyak debu,The place is less clean. A lot of dust.,"Tempat ini kurang bersih, banyak debu.",False
botol saosnya mampet tumpah semua kebersihan kurang,The sauce bottle is covered all the less hygiene.,Botol sausnya kurang higiene.,False
ujan2 enaknya ya nget anget,It's so good to remember.,Ini sangat baik untuk diingat.,False
rasa biasa nunggu masakan agak lama harga untuk kalangan biasa berat,It's common sense to wait for the cooking a bit longer The price for the common people is heavy,Ini masuk akal untuk menunggu untuk memasak sedikit lebih lama Harga untuk rakyat biasa adalah berat,False
agak manis,Kind of cute.,Agak lucu.,False
maksnyuss mie ayamnya,I mean the chicken noodles.,Maksudku mie ayam.,False
lama ndak bertemu mbk kasir,Haven't seen a cashier in a while.,Sudah lama tidak melihat kasir.,False
lezat tapi kurang gurih aja kuahnya,"It's delicious, but it's not good enough.","Ini lezat, tapi tidak cukup baik.",False
masakan mie nya lezat tapi sayang pelayanan nya mengecewekan sudah masuk duduk tapi pegawainya tidak ada satu pun yang menanyakan sesuatu hal dari 3 karyawan semua sibuk main hp teramat sangat mengecewakan,The noodle cooks are delicious but unfortunately the service is in. The girls are sitting down. But none of the employees are asking questions from three employees.,koki mie lezat tapi sayangnya layanan masuk gadis-gadis sedang duduk tapi tidak ada karyawan yang mengajukan pertanyaan dari tiga karyawan.,False
tekane ora pas dadi ora nemu simg special,presse ora pas dadi ora nemu simg special,presse ora pas dadi ora nemu simp special,False
sudah berpa kali makan disitu selalu kurang lezat rasanya,It's not good enough to eat there.,Tidak cukup baik untuk makan di sana.,False
sebenarnya lebih nyaman di tempat yang lama,Actually more comfortable in the old place.,Sebenarnya lebih nyaman di tempat lama.,False
pas kesitu rame tapi cpt pelayannya tipikal mie ayam yang tidak trlalu manis,Right there lame but cpt waiter typical chicken noodles that aren't too sweet,Tepat di sana lumpuh tapi cpt pelayan mie ayam khas yang tidak terlalu manis,False
gatau,gor,gor,False
siki bukak ora mas?,"Is that right, sir?","Apakah itu benar, Pak?",False
katanya terenak tapi rasa biasa aj porsi standar dan minusnya harga sedikit lebih mahal dari yang lain plus ada tukang parkirnya,"He said it's best, but the usual taste is standard and minus is a little more expensive than the rest. Plus there's a meter maid.","Dia bilang itu yang terbaik, tapi yang biasa adalah standar dan minus sedikit lebih mahal dari yang lain.",False
mantulita,Mantulita,Mantulita,False
enyak,Enyak,Enyak,False
lah rasanya biasa sih dikit juga porsi nya wkwkwk harga per tanggal ini 12k,That's what it's like to have a little bit of it. The price per date is 12k.,Seperti itulah rasanya memiliki sedikit harga per tanggal adalah 12k.,False
ternyata bukan seleraku mie nya kecil2 kriting kek mie instan daging ayamnya dikit banget pelayananya lama karena kebetulan pas gasnya kenapa dah tidak tau rasanya b aja tempatnya gelap sdkt kumuh harganya 15rb sdkt mahal dari mie ayam biasanya yang kebanyakan masih 12rb sekian,It's not my taste. The noodles are small. The instant noodles are so much better.,"Ini bukan seleraku, mie kecil, mie instannya jauh lebih enak.",False
bumbu kurang terasa,The seasoning is lacking.,Bumbunya kurang.,False
ada tukang parkirnya tidak sepadan it lah,It's not worth the parking lot.,Ini tidak layak tempat parkir.,False
beli mie ayam dibungkus koh kuahnya tidak ada rasanya sedikit keasinan harganya terlalu mahal 17k mie ayam biasa dengan rasa yang asin,Buy chicken noodles wrapped in gravy No taste of a little acidity is too expensive 17k chicken noodles with a salty flavor,Beli mie ayam dibungkus saus Tidak ada rasa asam sedikit terlalu mahal 17k mie ayam dengan rasa asin,False
mieny kecil2 porsinya banyak rendangnya berasa ada daging sapinya juga walaupun sedikit minus tempatnya aja kurang luas,"Small noodles. It has a lot of laces. It's got beef, too.","Mie kecil, ada banyak tali, ada daging sapi juga.",False
karyawannya tidak bgt! ownernya baik pol,The owner is good pol,Pemiliknya adalah polisi yang baik.,False
tolong itu kang parkirnya bayar 2rb tidak mundurin sama nyebrangin mana lngsung ditinggal pergi lezat banget cuma minta uang,Please. It's the parking lot. 2rb won't back off.,"Ini tempat parkir, 2rb tak mau mundur.",False
baksone asin ora rekomendasi,Salted meatballs or recommendations,Bakso asin atau rekomendasi,False
delicious,Delicious,Lezat,False
